address,entry_kind,entry_source,semantic_owner,contract_catalog,contract_entry,role,entry_contract,exits,clobbers,reads,writes,interrupt_safety,configured_reachability,contract_confidence,status
0x4002,tail_jump_entry,0x5A2E,initialization_main,initialization_main,0x4002,CPU and YM reset sequencing; sample self-test,RESET tail from $5A2E; interrupts masked,$401F self-test inactive/high; $402C active/low,"A,X,P,SP",$1030,"$1030,SP",RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: 0x5A2E,Verified,complete
0x40C8,tail_jump_entry,0x4029;0x40B5,initialization_main;nmi_protocol,initialization_main,0x40C8,install normal NMI/ring/mixer state and initialize devices,fast boot or diagnostic/IRQ-sync exit,$4104 with IRQ enabled,"A,X,Y,P plus callees",$1010,$01;$13;$28-$29;$0210-$0211;$0213;$0224-$0225;$1000;$1020 plus $5833/$41E6 effects,RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: 0x4029;0x40B5,Verified,complete
0x4142,callable_subroutine,0x4071;0x407C,initialization_main,initialization_main,0x4142,classify failing RAM page while preserving test A,X=failing page; A=current test pattern,$4157 fatal for page $01; RTS with $02=$10 for pages $02-$07 or $02|=$08 for $08-$0F,P; A preserved on returning paths,$02,$02;stack,RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: 0x4071;0x407C,Verified,complete
0x4157,tail_jump_entry,0x403A;0x4047;0x4144,initialization_main,initialization_main,0x4157,send error byte $10 and halt,page-zero/page-one RAM mismatch,infinite loop $415C,"A,P",none,$1000,RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: 0x403A;0x4047;0x4144,Verified,complete
0x415F,callable_subroutine,0x4096;0x409B;0x40A0,initialization_main,initialization_main,0x415F,16 KiB modulo-256 checksum; flag result if not $FF,X=start page; A=error mask,RTS; X advanced by $40 pages,"A,X,Y,P","64 pages through ($0E),Y;$02",$02;$0E-$0F;$10-$11,RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: 0x4096;0x409B;0x40A0,Verified,complete
0x4183,callable_subroutine,0x4026;0x40A7,initialization_main,initialization_main,0x4183,acknowledge/clear sound IRQ source,callable; A is value written but otherwise preserved,RTS,none,none,$1830,RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: 0x4026;0x40A7,Verified,complete
0x4187,vector_entry,IRQ_vector,control_plane,control_plane,0x4187,"ack IRQ, clear heartbeat bit 2, handle initialization/BRK/normal service",IRQ vector; CPU frame already stacked,RTI early/normal; BRK tail-reinitializes at $40EC,"normal/early paths restore A,X,Y; P restored by RTI",$01-$02;$00;$2A;$29;stacked P,$1830;$00;$02;$2A;$1020 plus callees,IRQ context; CPU I flag set; architectural registers restored by IRQ shell,always,Verified,complete
0x41C8,callable_subroutine,0x41BC,control_plane,control_plane,0x41C8,four speech services around alternating POKEY/YM device sweep,normal IRQ after Y saved; parity in $00,RTS via final $5894 tail jump,"A,X,Y,P plus callees",$00,speech/device state,IRQ context; CPU I flag set; architectural registers restored by IRQ shell,normal IRQ,Verified,complete
0x41E6,callable_subroutine,0x4100,control_plane,control_plane,0x41E6,atomically rebuild context pool and clear queues/channel arrays,JSR from initialization or type-3 command $00,continue $4218; RTS at $4294,"A,X,Y; P restored",none,$0224-$0226;$0832-$0833;$07E6-$080F and selected 30-entry channel arrays,caller-governed reset/IRQ helper; shared mutations are serialized by enclosing caller,command $00 and boot,Verified,complete
0x4295,callable_subroutine,0x41E8,control_plane,control_plane,0x4295,build four-byte record free list at $093D with terminal sentinel,global reset,RTS with free-list head $14=1,"A,X,Y,P;$14-$16",none,$093D-$0C54;$14-$16,caller-governed reset/IRQ helper; shared mutations are serialized by enclosing caller,boot/reset,Verified,complete
