path,range,branch_assumptions,software_cycles,cycles_including_irq_entry,microseconds_at_1_789772625_MHz,scope,confidence
IRQ_normal_mixer_idle,$4187-$41C7,normal path; $2A=0,89,96,49.72698696852624,"caller instructions only; includes JSR opcodes, excludes $41C8/$8381 callees",Verified
IRQ_normal_mixer_countdown,$4187-$41C7,normal path; $2A>1,96,103,53.638098303129425,"caller instructions only; includes JSR opcodes, excludes callees",Verified
IRQ_normal_mixer_expiry,$4187-$41C7,normal path; $2A=1 and mixer write,102,109,56.99047944707501,"caller instructions only; includes JSR opcodes, excludes callees",Verified
audio_dispatch_POKEY,$41C8-$41DD,odd $00 parity,36,,20.114286863673538,three speech JSRs plus parity/device dispatch and tail JMP; callee instructions excluded,Verified
audio_dispatch_YM,$41C8-$41E5,even $00 parity,37,,20.673017054331133,three speech JSRs plus parity/device dispatch and tail JMP; callee instructions excluded,Verified
POKEY_empty_full_consumer,$500D->$4DFC->$4D02,all four physical list heads zero; global threshold $13=0,518,,289.4222387606359,"includes $500D dispatch, two empty pair consumers, all AUDF/AUDC/AUDCTL writes, and final RTS",Verified representative lower-bound path
YM_empty_full_consumer,$500D->$4FD6->$4E68,all eight physical list heads zero,373,,208.4063611152841,"includes $500D dispatch, eight empty channel probes, and final RTS; no YM register busy waits occur",Verified representative lower-bound path
POKEY_output_wrapper_carry_clear,$4DFC-$4E67,both pair consumers return carry clear,184,,102.80635508099807,includes two JSR opcodes but excludes all $4D02 instructions; includes nine hardware writes,Verified active-output suffix
POKEY_output_wrapper_carry_set,$4DFC-$4E67,both pair consumers return carry set,186,,103.92381546231326,includes two JSR opcodes and both ORA adjustments but excludes all $4D02 instructions,Verified active-output suffix
POKEY_arbitration_active_tie_join,$4D87-$4DD3,$0811=$0812=$0814 and >= $13; second member wins tie,73,,40.78730391800467,post-$4651 arbitration suffix; returns carry set and selects caller's joined-mode mask,Verified
POKEY_arbitration_active_first_wins,$4D87-$4DFB,$0811>=$0812 and >=$13; updated first maximum > $0812,100,,55.87301906575982,post-$4651 arbitration suffix; returns carry clear and copies first-member output,Verified
POKEY_arbitration_suppressed_tie_join,$4D87-$4DD3,same tie but maximum < global threshold $13,100,,55.87301906575982,clears AUDC/control candidates before joined-mode return,Verified
POKEY_arbitration_suppressed_first_wins,$4D87-$4DFB,same first-member win but maximum < global threshold $13,127,,70.95873421351497,clears AUDC/control candidates before carry-clear return,Verified
POKEY_channel_steady_common,$4651-$4B6A,configured command $44; X=29; no linked next; both timers nonnegative; inactive envelopes; base frequency nonzero; $00&6!=0,291,,162.5904854813611,includes indexed page crossings and RTS; no bytecode decode or envelope record advance,Verified representative active path
POKEY_channel_steady_rotate,$4651-$4B6A,same state; $00&6=0 executes signed-delta rotate at $49BB-$49C2,310,,173.20635910385545,one-in-four POKEY frame phase; zero deltas still execute both ROR instructions,Verified representative active path
POKEY_pair_one_active_common,$4D02-$4DFB,first pair member uses steady common path; second member empty; priority >=$13; first wins,566,,316.24128791220056,"includes one $4651 call, pair setup/copy, arbitration, and RTS",Verified representative pair path
POKEY_pair_one_active_rotate,$4D02-$4DFB,same pair on $00&6=0 delta-rotation phase,585,,326.85716153469497,includes one $4651 call and complete pair consumer,Verified representative pair path
POKEY_one_active_full_consumer_common,$500D->$4DFC->$4D02,configured command $44 is sole active channel; other three heads empty; common frame phase,929,,519.0603471209088,dispatch + mixed-carry wrapper + one-active pair + empty pair,Verified representative full-device path
POKEY_one_active_full_consumer_rotate,$500D->$4DFC->$4D02,same state on $00&6=0 delta-rotation phase,948,,529.6762207434032,largest of the four steady phases for this state,Verified representative full-device path
board_normal_quiescent_odd_phase,$8381-$843E,$1030.4=1 inactive; $1020 low bits=1; filters low5=$1F; incremented $42 odd; counters zero,201,,112.30476832217724,"normal filtered path, four loop iterations, direct output writes, RTS",Verified representative board path
IRQ_POKEY_one_active_common,$4187->$41C8->$500D/$5894->$8381,$2A=0; command $44 sole active; four READY-idle speech calls; quiescent board; common frame phase,1559,1566,871.0603672351956,"complete software path; 20.972% of 7,467-cycle IRQ interval including entry",Verified representative complete IRQ
IRQ_POKEY_one_active_rotate,$4187->$41C8->$500D/$5894->$8381,same state on $00&6=0 delta-rotation phase,1578,1585,881.67624085769,"complete software path; 21.227% of 7,467-cycle IRQ interval including entry",Verified representative complete IRQ
POKEY_channel_initial_decode_common,$4651-$4B6A,"fresh command $44 allocation; common $00&6!=0 phase; decode six setup opcodes and REST $00,$0A",1637,,914.6413221064882,474 instructions executed from ROM; post-state and page penalties asserted,Verified instruction-executed path
POKEY_channel_initial_decode_rotate,$4651-$4B6A,same fresh allocation on $00&6=0 delta-rotation phase,1656,,925.2571957289825,478 instructions executed from ROM,Verified instruction-executed path
POKEY_pair_initial_decode_common,$4D02-$4DFB,initial command $44 decode in first member; second empty; first wins,1912,,1068.2921245373277,complete pair composed from instruction-executed channel and verified fixed suffix,Verified representative pair path
POKEY_pair_initial_decode_rotate,$4D02-$4DFB,same initial decode on delta-rotation phase,1931,,1078.9079981598222,complete pair consumer,Verified representative pair path
POKEY_initial_decode_full_common,$500D->$4DFC->$4D02,command $44 initial decode; other heads empty,2275,,1271.111183746036,dispatch + wrapper + initial-decode pair + empty pair,Verified representative full-device path
POKEY_initial_decode_full_rotate,$500D->$4DFC->$4D02,same initial decode on delta-rotation phase,2294,,1281.7270573685303,selected initial-decode full-device path,Verified representative full-device path
