start,end_inclusive,entry_kind,role,incoming,entry_assumptions,exits,clobbers,reads,writes,confidence,next_test
0x4D02,0x4DFB,callable_subroutine,POKEY pair arbitration and scratch selection,$4E0F;$4E36,Y=first physical-list head minus one; $08-$09=POKEY base,RTS $4DD3 or $4DFB; carry/result consumed by caller,"A,X,Y,P","$07E6,Y;$13;$0811-$0825;logical lists via $4651",$0811-$0825;$081C;channel arrays through $4651,Verified,Add representative active $4651 costs before the arbitration suffix
0x4DFC,0x4E67,tail_dispatch_entry,POKEY four-channel update and register writes,$500D for hardware type 0,X=dispatcher index 0; $08-$09=$1800; $57AE=$1E,RTS $4E67,"A,X,Y,P","$57AE,X;$0817-$0825","POKEY AUDF/AUDC pairs and AUDCTL through ($08),Y",Verified,Compose whole-pass bounds from active channel-engine paths
0x4E68,0x4FD5,callable_subroutine,one YM2151 channel update,$4FE4,Y=physical-list head 34..41; $083C=YM channel 0..7,early RTS $4E6D/$4E81/$4ED3/$4ED8; RTS $4FD5,"A,X,Y,P","$07E6,Y;$17;$0812;$0819;$0826-$082F;$083C-$089F;$57A0-$57A7;$72DC-$73DB;$5B5B-$5C5A","YM registers $08,$20-$3F,$60-$7F; shadows $083D+Y;$0810-$0813;$0C-$0F;$10-$11",Verified,Derive exact KC/KF/detune formula and operator mask meaning
0x4E82,0x4ECE,internal_block,YM voice/control register flush,$4E68 after active channel,$083C=channel; prepared shadow bytes,continue filter/pitch gate $4ECE,"A,Y,P plus $4FF0",$083C;$083D+Y;$082F,YM $20/$30/$38 and optional key register $08,Verified,Map each shadow byte to documented YM2151 bit fields
0x4ECE,0x4EFE,internal_block,YM filter gate and base key-code lookup,$4E68,$0812=status/filter value; $0819=note index,early RTS or continue conversion $4EFF,"A,X,Y,P plus $4FF0","$13;$082F;$0812;$0819;$083C;$5AF9,X",YM $28+channel; shadow; $0819,Verified,Prove $5AF9 index domain and note-to-KC mapping
0x4EFF,0x4FBD,internal_block,YM operator total-level correction,$4E68,X points to shadow register $20+channel; $082F already shifted twice,four-operator loop then $4FBD,"A,X,Y,P plus $4FF0","$083D,X;$57A0-$57A7;$5C5B-$5C5E event/control bias;$0826-$082F;$72DC-$73DB;$5B5B-$5C5A",YM total-level registers $60/$64/$68/$6C + channel; $0C-$0F;$10-$11;$0810/$0813,Verified,Configured bias indices 0..3 resolved in ym_tl_bias_catalog.csv
0x4FBD,0x4FD5,internal_block,optional YM key-on write,$4E68 after operator loop,$082F shift state,RTS $4FD5,"A,Y,P plus $4FF0",$082F;$083C,YM key register $08 and shadow,Verified,Correlate flag bit with note/retrigger paths
0x4FD6,0x4FEF,tail_dispatch_entry,iterate eight YM2151 channels,$500D for hardware type 2,X=dispatcher index 1; $57AF=$22,RTS $4FEF,"A,Y,P; X clobbered transitively","$57AE,X",$083C and per-channel effects from $4E68,Verified,Cycle-count worst and best active-channel paths
0x4FF0,0x500C,callable_subroutine,YM2151 busy wait with sticky timeout,all YM register writers,Y=YM register number; A preserved unless timeout already sticky,RTS $500C,P; A preserved on normal first call,$0D;$1811;$02,$0D on timeout;$02 bit 1,Verified,Prove initialization/reset of sticky $0D across all paths
0x500D,0x5028,callable_dispatcher,select hardware base/type and tail-dispatch,$41D8;$41E0,X=phase index 0 or 1,tail $4DFC for type 0; tail $4FD6 otherwise,"A,Y,P; X passed/clobbered","$57A8-$57AD,X",$08-$09;$081D,Verified,Confirm only X=0/1 is configured at every caller
