question_id,remaining_question,canonical_issue_section,required_external_evidence,status,static_work_status,current_image_functional_result,evidence_available_in_workspace,confidence
envelope_packed_ends,Exact original packed ends for 17 structurally bounded envelopes,P0 — Exact type-7 segment map; P1 — Envelope and voice data formats,comparison sound ROM or Atari source/listing,historical_intent_not_recoverable_from_current_image,exhausted_no_remaining_static_test,consumer grammar and all configured/runtime reads are already bounded; packing intent only,False,Verified evidence dependency
mixed_region_provenance,"Original purpose of YM offset $1C, 15 unreferenced voices, $80DA-$80E2, and zero trailers",P0 — Exact type-7 segment map; P1 — Envelope and voice data formats,comparison sound ROM or Atari source/listing,historical_intent_not_recoverable_from_current_image,exhausted_no_remaining_static_test,zero unclassified bytes; no current-image consumer exists,False,Verified evidence dependency
runtime_indirect_targets,"Whether execution produces an indirect CPU target absent from verified ROM tables, plus configured path/RNG frequencies",P0 — Complete 6502 entry-point and control-flow inventory; P1 — Timing,complete-ROM MAME or cabinet control-flow trace,external_evidence_required,exhausted_no_remaining_static_test,direct/table traversal is at fixed point and all 61 meaningful entries have contracts,False,Verified evidence dependency
dormant_feature_intent,Intended nonzero YM interpolation and dormant POKEY NOTE behavior,P1 — Frequency table conversion,comparison ROM/source that configures SET_VIBRATO or POKEY NOTE,historical_intent_not_recoverable_from_current_image,exhausted_no_remaining_static_test,current configured traversal proves both paths dormant,False,Verified evidence dependency
irq_catchup_runtime,Actual catch-up IRQ behavior after the one configured initial overrun,P1 — Timing,complete-ROM MAME or cabinet IRQ trace,external_evidence_required,exhausted_no_remaining_static_test,ROM cycle count and level-IRQ implementation behavior are already bounded,False,Verified evidence dependency
speech_ready_runtime,"Phrase-specific READY cadence, zero-drain timing, and watchdog occurrence",P1 — Timing; P1 — Speech drain and watchdog hardware behavior,TMS5220-integrated MAME or cabinet bus trace,external_evidence_required,exhausted_no_remaining_static_test,ROM state machine and supplied device-core FIFO behavior are resolved,False,Verified evidence dependency
reserved_handler_provenance,Whether dormant handler types were development leftovers or revision features,P1 — Reserved handler types,comparison sound ROM or Atari source/listing,historical_intent_not_recoverable_from_current_image,exhausted_no_remaining_static_test,current-image semantics and zero configured reachability are Verified,False,Verified evidence dependency
board_control_runtime,"Physical validation of the coin filter/counter-pulse interpretation, polarity, and duration",P2 — Board-control routine `$8381`,cabinet/MAME I/O trace or original wiring documentation,external_evidence_required,exhausted_no_remaining_static_test,sound-ROM arithmetic/output pairings and exact slot-to-player mapping are already incorporated,False,Verified evidence dependency
reset_startup_nmi_delivery,Whether the startup $00 written while sound reset is asserted produces a post-release NMI in the diagnostic window,Resolved mechanics — Alternate NMI diagnostic-window indirect write,reset-time MAME or cabinet bus trace,external_evidence_required,exhausted_no_remaining_static_test,the companion game/OS proves the startup sender and value; only reset/latch/NMI delivery timing remains,False,Verified evidence dependency
unreferenced_rom_provenance,"Build intent of $8447-$8448, $FECD, and $FFF6-$FFF9",P2 — Small unreferenced ROM regions,comparison ROM/source/build map,historical_intent_not_recoverable_from_current_image,exhausted_no_remaining_static_test,complete code/bytecode/indirect xrefs find no consumer,False,Verified evidence dependency
command_game_use,Complete game/OS emitter coverage and player-visible meaning for legacy and control commands,P2 — Command descriptions and game-side use,dataflow-complete companion emitter audit or gameplay trace,cross_image_static_followup,available_companion_static_audit_remaining,"known game/OS paths are incorporated, including newly verified command $D7 use; indirect table-fed emitters are not yet exhaustively catalogued",True,Verified evidence dependency
