opcode,handler,name,argument_bytes,chip_scope,consumer_effect,return_contract,confidence
0x80,0x5173,SET_TEMPO,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x81,0x516A,ADD_TEMPO,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x82,0x5192,SET_VOLUME,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x83,0x517A,ADD_VOLUME,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x84,0x51AE,SET_TRANSPOSE,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x85,0x51AA,ADD_TRANSPOSE,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x86,0x515F,SET_FREQ_ENV,2,both,replace frequency-envelope pointer with 16-bit operand,synthetic return from target-minus-one table; carry reports continuation,Verified
0x87,0x5154,SET_VOL_ENV,2,both,replace volume-envelope pointer with 16-bit operand,synthetic return from target-minus-one table; carry reports continuation,Verified
0x88,0x50F1,RESET_TIMER,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x89,0x514B,SET_REPEAT,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x8A,0x51B3,SET_DISTORTION,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x8B,0x51B7,SET_CTRL_BITS,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x8C,0x51E2,SET_VIBRATO,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x8D,0x51E6,PUSH_SEQ,2,both,push return record and enter 16-bit subsequence,synthetic return from target-minus-one table; carry reports continuation,Verified
0x8E,0x5214,PUSH_SEQ_EXT,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x8F,0x523F,POP_SEQ,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x90,0x54CC,SWITCH_POKEY,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x91,0x54E5,SWITCH_YM2151,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x92,0x4719,NOP,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x93,0x4719,NOP,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x94,0x4719,NOP,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x95,0x4719,NOP,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x96,0x54F4,QUEUE_OUTPUT,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x97,0x54F9,FADEOUT_ENV,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x98,0x4719,NOP,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x99,0x5515,SET_SEQ_PTR,2,both,replace sequence pointer with 16-bit operand,synthetic return from target-minus-one table; carry reports continuation,Verified
0x9A,0x5524,PLAY_SPEECH_CMD,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x9B,0x51CB,CLR_CTRL_BITS,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x9C,0x54B1,FORCE_POKEY,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
