start,end_inclusive,kind,role,entry_contract,exits,clobbers,reads,writes,confidence
0x4002,0x401D,reset_entry,CPU and YM reset sequencing; sample self-test,RESET tail from $5A2E; interrupts masked,$401F self-test inactive/high; $402C active/low,"A,X,P,SP",$1030,"$1030,SP",Verified
0x401F,0x402B,fast_init,normal boot: clear zero page and skip diagnostics,$1030 bit 4 set (self-test inactive),tail $40C8 after JSR $4183,"A,X,P",none,$0000-$00FF;$1830,Verified
0x402C,0x4056,zero_page_ram_test,walking one/complement test; leave page zeroed,$1030 bit 4 clear; X=0,$4057 success; tail $4157 first mismatch,"A,Y,P",$0000-$00FF,$0000-$00FF,Verified
0x4057,0x408E,paged_ram_test,walking one/complement test pages $01-$0F; leave zeroed,page-zero test succeeded; X=0,$408F after page $0F; $4157 fatal for page $01; continue after logged errors pages $02-$0F,"A,X,Y,P",$0100-$0FFF,$0100-$0FFF;$02;$0E-$0F,Verified
0x408F,0x40C7,rom_test_irq_sync,three ROM checksums then wait for first initialization IRQ,self-test RAM diagnostics complete,$40C8 when early IRQ/NMI makes $00 nonzero or 65536-count timeout sets $02 bit 2,"A,X,Y,P,SP",$4000-$FFFF;$00;$02,$00-$01;$02;$0E-$0F;$10-$11;$1830,Verified; checksum results $4000-$7FFF=$FF; $8000-$BFFF=$FF; $C000-$FFFF=$FF
0x40C8,0x4103,common_initialization,install normal NMI/ring/mixer state and initialize devices,fast boot or diagnostic/IRQ-sync exit,$4104 with IRQ enabled,"A,X,Y,P plus callees",$1010,$01;$13;$28-$29;$0210-$0211;$0213;$0224-$0225;$1000;$1020 plus $5833/$41E6 effects,Verified
0x4104,0x4126,main_output_drain,clear main heartbeat and send at most one queued output byte,normal main loop,"fall $4127 whether latch busy, queue empty, or one byte sent","A,Y,P",$02;$1030;$0224-$0225;$0214-$0223,$02;$0224;$1000,Verified
0x4127,0x4141,main_input_dispatch,consume and dispatch at most one command-ring byte,output phase complete,tail $4104 after optional JSR $432E,"A,X,Y,P plus dispatcher",$0210-$0211;$0200-$020F,$0210 plus dispatcher effects,Verified
0x4142,0x4156,ram_error_classifier,classify failing RAM page while preserving test A,X=failing page; A=current test pattern,$4157 fatal for page $01; RTS with $02=$10 for pages $02-$07 or $02|=$08 for $08-$0F,P; A preserved on returning paths,$02,$02;stack,Verified
0x4157,0x415E,fatal_ram_failure,send error byte $10 and halt,page-zero/page-one RAM mismatch,infinite loop $415C,"A,P",none,$1000,Verified
0x415F,0x4182,rom_checksum_helper,16 KiB modulo-256 checksum; flag result if not $FF,X=start page; A=error mask,RTS; X advanced by $40 pages,"A,X,Y,P","64 pages through ($0E),Y;$02",$02;$0E-$0F;$10-$11,Verified
0x4183,0x4186,irq_ack_helper,acknowledge/clear sound IRQ source,callable; A is value written but otherwise preserved,RTS,none,none,$1830,Verified
0x5A0B,0x5A24,boot_board_handshake,write fixed board-interface startup sequence,called once by common initialization at $40CD,RTS,"A,P",none,$1003=$FF;$1002=$33;$100B=$00;$100C=$22;$1000=$0F,Verified writes; board-level purpose Unknown
0x5A25,0x5A30,reset_vector_gate,"wait for board status bits 7..6 to equal $80, then enter RESET body",RESET vector,tail $4002 once ($1030 & $C0)==$80; otherwise spin at $5A2C,"A,P",$1030,none,Verified
