address,entry_kind,role,entry_contract,exits,clobbers,reads,writes,interrupt_safety,configured_reachability,confidence
0x5029,callable_indirect_dispatcher,opcode/end dispatcher,A=current stream byte; X=logical channel; Y=current stream offset; ($06) is stream base,"end >=$BB: mark $0228,X=$FF and CLC/RTS; opcode: increment Y, push target-minus-one, load first operand, SEC/RTS into handler","A,Y,P;$11;X restored before synthetic dispatch","($06),Y;$507B-$50F0","$0228,X;$11;stack",IRQ channel-service context; CPU I flag already set,all configured type-7 streams,Verified
0x5047,callable_subroutine,advance/read sequence helper,X=logical channel; Y=operand cursor; ($06) is current stream base,RTS with A=next byte; Y incremented; C reports low-pointer wrap,"A,Y,P","$0246-$0264,X;($06),Y","$0246-$0264,X",caller-governed; used from IRQ bytecode service,configured opcode operand loaders,Verified
0x5059,tail_jump_entry,active-command chain search and safe opcode apply,X=index of physical-list head; $0830=target command; Y=opcode-table byte offset; $0831=operand,RTS after no match or after every matching handler returns,"A,X,Y plus selected handler; caller P restored",$07E6;$0228;$0830-$0831;$507B-$50F0,selected handler effects;stack,PHP/SEI protects full traversal and handler application; PLP restores caller P,only dormant handler type 12 reaches this entry,Verified
0x506F,callable_indirect_dispatcher,safe bytecode handler dispatcher,X=matching logical channel; Y=even target-table byte offset; $0831=operand,push target-minus-one and synthesize return into selected handler; selected handler returns to caller,"A,P plus selected handler;X/Y caller-dependent",$507B-$50F0;$0831,stack plus selected handler effects,called inside $5059 interrupt-masked critical section,only dormant handler type 12 reaches this entry,Verified
0x5181,callable_with_tail_exit,apply signed channel-volume delta,A=signed delta; X=logical channel,"POKEY: add to $0408,X and SEC/RTS; YM: tail $5715 carrier-TL application","A,Y,P;$0E-$0F;$11;X preserved on YM tail","$081D;$0408,X plus $5715 inputs","$0408,X or algorithm-selected YM TL bases",IRQ channel-service context; CPU I flag already set,active fade/ramp path; also ADD_VOLUME shared suffix,Verified
0x5444,callable_subroutine,variable classifier,A=classifier index; X=logical channel; Y=caller value to preserve,RTS with classified byte in A and original Y restored; YM index 0 deliberately preserves incoming A,"A,P;$11;X/Y preserved",$081D;$0408;$049E;$05CA;$05E8;$18-$27;$180A;$07C8,$11 scratch,IRQ bytecode-service context; CPU I flag already set,all configured compare/classify opcodes,Verified
0x558F,callable_subroutine,YM voice register-image loader,X=logical channel with voice pointer in $04DA/$04F8; $17=0 only for physical-list winner,"nonwinner/non-YM RTS unchanged; winner writes 28-byte image, restores X, SEC/RTS","A,Y,P;$0C-$0F;$11;X preserved",$17;$081D;$04DA-$04F8;28 bytes through ($0E);$083C,$03CC/$03EA;YM $20/$40-$E0 banks;$083D shadows;$02 on timeout,IRQ channel-service context; CPU I flag already set,configured SET_VOICE operations; hardware writes only for YM winners,Verified
0x5676,callable_subroutine,winner-gated indirect YM register writer,"X=YM register selector; ($0E),Y=next value; $17=0 only for winner","suppressed RTS without consuming Y; winner waits, writes/shadows byte, increments Y, RTS","A,Y,P;X preserved","$17;($0E),Y;$1811","$1810-$1811;$083D,X;$02 on timeout",IRQ bytecode-service context; CPU I flag already set,configured $9E/$9F YM auxiliary loaders,Verified
0x5715,tail_jump_entry,YM carrier total-level delta application,A=signed operand to negate; X=logical YM channel,non-YM RTS; YM saturating-adds negated delta to carrier TL bases selected by algorithm and SEC/RTS,"A,Y,P;$0E-$0F;$11;X preserved","$081D;$04BC,X;$57A0-$57A7;$0426/$0444/$0462/$0480",$0426/$0444/$0462/$0480 carrier-selected entries,IRQ bytecode-service context; CPU I flag already set,31 configured opcode $A1 operations plus ADD_VOLUME/SET_VOLUME/fade tails,Verified
0x5755,tail_jump_entry,YM operator-TL base reload,A=SET_VOLUME low-nibble selector; X=logical channel with voice pointer,fade status $FE: CLC/RTS; otherwise reload four base TLs and tail $5715 with signed attenuation table value,"A,Y,P;$0C;$0E-$0F;X preserved;stack balanced",$0228;$04DA-$04F8;voice offsets 5/11/17/23;$5790-$579F,$0426/$0444/$0462/$0480 plus $5715 effects,IRQ bytecode-service context; CPU I flag already set,YM SET_VOLUME and shared reload suffix,Verified
